Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Israele;Femmine;379;395;395;406;168;425;432;437;411;409;403;427;429;425;424;409;162;163;184;201;206;220;229;221;219;234;233;162
Israele;Maschi;531;546;545;557;192;567;588;595;544;522;519;530;539;535;546;509;213;216;237;247;248;245;234;242;242;253;248;148
Jugoslavia (Serbia-Montenegro);Femmine;419;468;479;513;643;602;674;751;809;815;812;842;830;845;902;863;509;541;596;595;599;580;0;0;0;0;0;0
Jugoslavia (Serbia-Montenegro);Maschi;413;452;464;511;612;630;710;857;917;932;956;982;972;979;993;935;477;504;547;552;550;546;0;0;0;0;0;0
Kazakistan;Femmine;0;0;0;0;0;0;0;0;0;0;1;6;11;11;15;14;11;13;19;28;28;36;54;58;60;69;73;75
Kazakistan;Maschi;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;2;3;3;4;12;13;14;15;18;19;21
Kenya;Femmine;3;3;4;4;10;0;11;13;17;17;19;22;27;34;36;38;32;35;43;48;47;54;62;71;78;89;90;87
Kenya;Maschi;7;8;8;10;10;0;15;18;19;24;27;29;28;39;41;42;31;36;38;40;41;43;46;50;52;60;59;50
Kirghizistan;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;8;8;10;12;19;25;31
Kirghizistan;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;4;4
Kosovo;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;9;69;66;58
Kosovo;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;35;141;159;162
Kuwait;Femmine;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Kuwait;Maschi;0;0;2;2;0;0;2;2;2;2;2;3;3;3;3;4;2;2;3;3;3;3;3;3;3;3;3;1
Laos;Femmine;0;0;0;0;9;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;2;1;1;1;1;1;2;2
Laos;Maschi;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lesotho;Femmine;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lesotho;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Lettonia;Femmine;0;0;0;0;0;0;0;0;2;3;4;7;11;11;15;20;20;24;43;52;57;74;85;97;108;130;115;102
Lettonia;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;4;6;6;6;6;6;10;14;13;13
Libano;Femmine;133;138;140;144;104;0;152;154;152;139;132;136;125;115;123;110;72;71;71;68;71;70;56;55;57;62;65;57
Libano;Maschi;245;245;245;246;133;0;278;284;270;262;255;255;245;233;247;236;123;138;149;151;151;153;157;151;168;177;176;135
Liberia;Femmine;1;1;1;1;1;0;1;4;3;3;2;2;3;3;3;5;4;5;7;8;7;7;8;9;9;8;5;2
Liberia;Maschi;3;3;3;3;1;0;2;2;2;2;3;3;4;4;5;4;3;5;16;21;21;21;17;17;21;23;19;14
Libia;Femmine;68;62;60;57;13;0;55;55;43;43;46;48;48;47;48;42;16;16;16;21;26;25;25;24;30;36;36;27
Libia;Maschi;82;78;77;68;22;0;71;70;52;50;56;58;58;57;63;50;21;35;42;50;55;55;61;56;62;68;66;47
Liechtenstein;Femmine;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0
Liechtenstein;Maschi;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lituania;Femmine;0;0;0;0;0;0;0;0;2;2;4;5;8;11;14;15;21;26;41;48;60;73;94;104;127;150;147;140
Lituania;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;5;4;4;11;16;22;27;24;20
Lussemburgo;Femmine;6;5;5;5;9;0;6;7;7;7;9;10;11;10;6;6;3;4;5;5;5;6;6;8;7;7;6;6
